 num     #instances         #bytes  class name (module)
  99:            19            456  java.time.Duration (java.base@17)
 100:            19            456  java.util.ArrayList (java.base@17)
 101:             1            432  [[[C (java.base@17)
 102:             9            432  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@17)
 103:            18            432  java.lang.invoke.Invokers (java.base@17)
 104:            13            400  [Ljava.io.ObjectStreamField; (java.base@17)
 105:             2            384  [Ljava.time.ZoneOffset; (java.base@17)
 106:             6            384  java.net.URL (java.base@17)
 107:            16            384  java.time.ZoneOffset (java.base@17)
 108:             1            376  com.intellij.rt.execution.application.AppMainV2$1
 109:             1            376  java.lang.ref.Finalizer$FinalizerThread (java.base@17)
 110:             1            376  jdk.internal.misc.InnocuousThread (java.base@17)
 111:             1            368  java.lang.ref.Reference$ReferenceHandler (java.base@17)
 112:            23            368  java.time.format.DateTimeFormatterBuilder$CharLiteralPrinterParser (java.base@17)
 113:             9            360  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@17)
 114:             4            352  java.util.regex.Pattern (java.base@17)
 115:             5            336  [S (java.base@17)
 116:            21            336  java.lang.ref.ReferenceQueue$Lock (java.base@17)
 117:             6            336  java.nio.DirectLongBufferU (java.base@17)
 118:             6            336  java.util.LinkedHashMap (java.base@17)
 119:             7            336  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17)
 120:             2            328  [D (java.base@17)
 121:             8            320  sun.util.resources.Bundles$BundleReference (java.base@17)
 122:             1            288  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@17)
 123:             2            288  [Ljava.lang.invoke.MemberName; (java.base@17)
 124:             2            288  [Z (java.base@17)
 125:             9            288  jdk.internal.org.objectweb.asm.Type (java.base@17)
 126:             9            288  sun.util.locale.BaseLocale$Key (java.base@17)
 127:             7            280  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@17)
 128:             5            280  java.nio.HeapByteBuffer (java.base@17)
 129:             7            280  java.security.ProtectionDomain (java.base@17)
 130:             5            280  sun.util.calendar.ZoneInfo (java.base@17)
 131:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@17)
 132:             8            256  sun.util.resources.Bundles$CacheKey (java.base@17)
 133:             5            240  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@17)
 134:             3            240  [Ljava.util.WeakHashMap$Entry; (java.base@17)
 135:             6            240  java.io.FileDescriptor (java.base@17)
 136:            10            240  java.nio.charset.CoderResult (java.base@17)
 137:            10            240  java.nio.file.StandardOpenOption (java.base@17)
 138:             6            240  java.security.CodeSource (java.base@17)
 139:             6            240  java.util.EnumMap (java.base@17)
 140:             6            240  java.util.stream.StreamOpFlag (java.base@17)
 141:             6            240  jdk.internal.loader.NativeLibraries$NativeLibraryImpl (java.base@17)
 142:             7            224  java.util.Hashtable$Entry (java.base@17)
 143:             2            208  java.util.jar.JarFile$JarFileEntry (java.base@17)
 144:             5            200  java.util.WeakHashMap$Entry (java.base@17)
 145:             5            200  sun.util.locale.provider.LocaleResources$ResourceReference (java.base@17)
 146:             4            192  [Ljava.lang.invoke.MethodType; (java.base@17)
 147:             6            192  java.lang.invoke.LambdaForm$BasicType (java.base@17)
 148:             8            192  java.math.RoundingMode (java.base@17)
 149:             3            192  java.nio.DirectByteBufferR (java.base@17)
 150:             6            192  java.time.format.TextStyle (java.base@17)
 151:             7            176  [Ljava.lang.reflect.Method; (java.base@17)
 152:             1            168  [[Ljava.math.BigInteger; (java.base@17)
 153:             3            168  java.nio.HeapCharBuffer (java.base@17)
 154:             3            168  java.util.Properties (java.base@17)
 155:             2            160  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@17)
 156:             4            160  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17)
 157:             4            160  java.lang.invoke.DirectMethodHandle$Interface (java.base@17)
 158:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@17)
 159:             5            160  java.net.InetAddress$InetAddressHolder (java.base@17)
 160:            10            160  java.util.Collections$UnmodifiableSet (java.base@17)
 161:             5            160  java.util.RegularEnumSet (java.base@17)
 162:             2            160  java.util.zip.ZipFile$Source (java.base@17)
 163:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type (java.base@17)
 164:             2            152  [[Ljava.lang.String; (java.base@17)
 165:             1            144  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@17)
 166:             3            144  java.lang.ThreadGroup (java.base@17)
 167:             3            144  java.time.temporal.JulianFields$Field (java.base@17)
 168:             3            144  java.util.Hashtable (java.base@17)
 169:             6            144  java.util.LinkedList$Node (java.base@17)
 170:             1            144  java.util.Scanner (java.base@17)
 171:             3            144  java.util.WeakHashMap (java.base@17)
 172:             6            144  jdk.internal.perf.PerfCounter (java.base@17)
 173:             6            144  jdk.net.ExtendedSocketOptions$ExtSocketOption (jdk.net@17)
 174:             1            136  [Ljava.time.temporal.ChronoField; (java.base@17)
 175:             3            128  [Ljava.util.Hashtable$Entry; (java.base@17)
 176:             4            128  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@17)
 177:             4            128  java.lang.invoke.MethodHandles$Lookup (java.base@17)
 178:             4            128  java.lang.ref.WeakReference (java.base@17)
 179:             4            128  java.time.format.DateTimeFormatterBuilder$TextPrinterParser (java.base@17)
 180:             4            128  java.util.ImmutableCollections$MapN (java.base@17)
 181:             4            128  java.util.stream.FindOps$FindOp (java.base@17)
 182:             4            128  jdk.internal.loader.NativeLibraries (java.base@17)
