 num     #instances         #bytes  class name (module)
  99:             8            320  sun.util.resources.Bundles$BundleReference (java.base@17)
 100:             1            288  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@17)
 101:             2            288  [Ljava.lang.invoke.MemberName; (java.base@17)
 102:             2            288  [Z (java.base@17)
 103:             9            288  jdk.internal.org.objectweb.asm.Type (java.base@17)
 104:             9            288  sun.util.locale.BaseLocale$Key (java.base@17)
 105:             7            280  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@17)
 106:             5            280  java.nio.HeapByteBuffer (java.base@17)
 107:             7            280  java.security.ProtectionDomain (java.base@17)
 108:             5            280  sun.util.calendar.ZoneInfo (java.base@17)
 109:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@17)
 110:             8            256  sun.util.resources.Bundles$CacheKey (java.base@17)
 111:             5            240  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@17)
 112:             3            240  [Ljava.util.WeakHashMap$Entry; (java.base@17)
 113:             6            240  java.io.FileDescriptor (java.base@17)
 114:            10            240  java.nio.charset.CoderResult (java.base@17)
 115:            10            240  java.nio.file.StandardOpenOption (java.base@17)
 116:             6            240  java.security.CodeSource (java.base@17)
 117:             6            240  java.util.EnumMap (java.base@17)
 118:             6            240  java.util.stream.StreamOpFlag (java.base@17)
 119:             6            240  jdk.internal.loader.NativeLibraries$NativeLibraryImpl (java.base@17)
 120:             7            224  java.util.Hashtable$Entry (java.base@17)
 121:             4            224  java.util.LinkedHashMap (java.base@17)
 122:             2            208  java.util.jar.JarFile$JarFileEntry (java.base@17)
 123:             5            200  java.util.WeakHashMap$Entry (java.base@17)
 124:             5            200  sun.util.locale.provider.LocaleResources$ResourceReference (java.base@17)
 125:             4            192  [Ljava.lang.invoke.MethodType; (java.base@17)
 126:             6            192  java.lang.invoke.LambdaForm$BasicType (java.base@17)
 127:             8            192  java.math.RoundingMode (java.base@17)
 128:             3            192  java.nio.DirectByteBufferR (java.base@17)
 129:             7            176  [Ljava.lang.reflect.Method; (java.base@17)
 130:             3            168  java.nio.HeapCharBuffer (java.base@17)
 131:             3            168  java.util.Properties (java.base@17)
 132:             2            160  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@17)
 133:             4            160  java.lang.invoke.DirectMethodHandle$Interface (java.base@17)
 134:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@17)
 135:             5            160  java.net.InetAddress$InetAddressHolder (java.base@17)
 136:             5            160  java.util.RegularEnumSet (java.base@17)
 137:             2            160  java.util.zip.ZipFile$Source (java.base@17)
 138:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type (java.base@17)
 139:             2            152  [[Ljava.lang.String; (java.base@17)
 140:             1            144  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@17)
 141:             3            144  java.lang.ThreadGroup (java.base@17)
 142:             9            144  java.util.Collections$UnmodifiableSet (java.base@17)
 143:             3            144  java.util.Hashtable (java.base@17)
 144:             6            144  java.util.LinkedList$Node (java.base@17)
 145:             1            144  java.util.Scanner (java.base@17)
 146:             3            144  java.util.WeakHashMap (java.base@17)
 147:             6            144  jdk.internal.perf.PerfCounter (java.base@17)
 148:             6            144  jdk.net.ExtendedSocketOptions$ExtSocketOption (jdk.net@17)
 149:             3            128  [Ljava.util.Hashtable$Entry; (java.base@17)
 150:             4            128  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@17)
 151:             4            128  java.lang.invoke.MethodHandles$Lookup (java.base@17)
 152:             4            128  java.lang.ref.WeakReference (java.base@17)
 153:             4            128  java.util.stream.FindOps$FindOp (java.base@17)
 154:             4            128  jdk.internal.loader.NativeLibraries (java.base@17)
 155:             2            128  sun.nio.fs.WindowsFileAttributes (java.base@17)
 156:             4            128  sun.util.locale.provider.LocaleResources (java.base@17)
 157:             3            120  [Ljava.lang.invoke.LambdaForm$BasicType; (java.base@17)
 158:             3            120  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle (java.base@17)
 159:             5            120  java.lang.module.ModuleDescriptor$Opens (java.base@17)
 160:             5            120  java.util.Collections$SetFromMap (java.base@17)
 161:             5            120  java.util.stream.StreamOpFlag$Type (java.base@17)
 162:             3            120  sun.nio.fs.WindowsPath (java.base@17)
 163:             5            120  sun.nio.fs.WindowsPathType (java.base@17)
 164:             3            112  [Ljava.lang.Thread; (java.base@17)
 165:             7            112  [Ljava.security.Principal; (java.base@17)
 166:             2            112  java.io.FileCleanable (java.base@17)
 167:             2            112  java.nio.DirectIntBufferRU (java.base@17)
 168:             7            112  java.security.ProtectionDomain$Key (java.base@17)
 169:             2            112  java.util.jar.JarFile (java.base@17)
 170:             1            104  jdk.internal.loader.ClassLoaders$AppClassLoader (java.base@17)
 171:             1            104  jdk.internal.loader.ClassLoaders$BootClassLoader (java.base@17)
 172:             1            104  jdk.internal.loader.ClassLoaders$PlatformClassLoader (java.base@17)
 173:             1             96  [Lsun.util.locale.BaseLocale; (java.base@17)
 174:             3             96  java.io.File (java.base@17)
 175:             3             96  java.lang.Runtime$Version (java.base@17)
 176:             3             96  java.lang.invoke.SimpleMethodHandle (java.base@17)
 177:             4             96  java.lang.module.ModuleDescriptor$Modifier (java.base@17)
 178:             4             96  java.lang.module.ModuleDescriptor$Requires$Modifier (java.base@17)
 179:             4             96  java.util.ArrayDeque (java.base@17)
 180:             3             96  java.util.ImmutableCollections$MapN (java.base@17)
 181:             4             96  java.util.regex.Pattern$CharPropertyGreedy (java.base@17)
 182:             4             96  java.util.regex.Pattern$Qtype (java.base@17)
 183:             4             96  java.util.stream.StreamShape (java.base@17)
